id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
0_1,0,0,2,5,2,0,0,5
0_2,-5,1,2,5,0,0,0,7
0_3,-1,0,3,3,1,3,0,5
0_5,2,0,3,2,2,4,0,3
0_7,-2,0,3,3,0,3,0,5
0_8,-3,0,2,4,2,0,0,7
0_11,0,0,3,6,2,0,0,5
0_12,2,0,3,3,2,3,0,3
0_16,6,0,3,5,2,3,0,1
0_20,-5,1,3,6,0,0,0,7
0_22,1,0,3,3,2,2,0,3
0_23,-8,1,3,0,1,0,0,5
0_26,-1,0,2,4,2,0,0,5
0_27,1,0,2,6,2,0,0,5
0_28,4,0,3,3,2,3,0,1
0_29,-5,0,3,2,2,1,0,7
0_30,-5,1,3,6,0,0,0,7
0_33,0,0,3,2,2,2,0,3
0_36,3,0,3,7,2,0,0,3
0_39,0,0,3,3,2,2,0,4
0_44,-3,1,3,6,0,0,0,5
0_46,1,0,3,4,2,3,0,5
0_47,5,0,3,7,0,2,0,1
0_49,-1,0,3,3,2,2,0,5
0_52,-2,0,3,3,0,3,0,5
0_53,-5,1,3,6,0,0,0,7
0_54,0,0,3,6,2,0,0,5
0_56,2,0,3,3,2,3,0,3
0_57,-1,0,3,2,2,2,0,4
0_58,2,0,3,6,2,0,0,3
0_59,-3,1,3,3,0,3,0,5
0_60,3,0,3,3,2,4,0,3
0_63,3,0,3,3,2,4,0,3
0_64,-1,1,1,6,0,0,0,5
0_65,-2,0,0,5,0,0,0,7
0_66,6,0,3,7,0,3,0,1
0_67,2,0,3,7,0,3,0,5
0_70,-3,0,2,6,2,0,0,9
0_71,2,0,3,3,2,3,0,3
0_75,-2,0,3,2,2,2,0,5
0_76,6,0,1,3,2,3,0,1
0_77,0,0,3,6,2,0,0,5
0_79,-5,1,3,2,0,2,0,5
0_81,-8,0,3,3,0,1,0,9
0_82,-2,0,3,3,2,3,0,7
0_83,-1,0,3,3,0,4,0,5
0_84,0,0,3,6,2,0,0,5
0_85,6,0,1,3,2,3,0,1
0_88,-1,0,3,3,2,2,0,5
0_90,0,0,1,0,1,1,0,1
0_91,-2,0,3,6,2,0,0,7
0_93,2,0,3,3,2,3,0,3
0_94,1,0,3,2,2,3,0,3
0_95,7,0,3,5,2,4,0,1
0_97,1,0,3,3,1,3,0,3
0_98,3,0,3,3,2,2,0,1
1_0,5,0,1,2,2,3,0,1
1_2,2,0,1,5,2,2,0,6
1_3,3,0,1,3,2,2,0,3
1_4,-3,0,1,2,2,1,0,7
1_6,1,0,1,2,2,2,0,4
1_8,5,0,1,3,2,2,0,1
1_9,1,0,1,2,1,2,0,3
1_10,5,0,1,3,2,2,0,1
1_18,8,0,1,7,0,3,0,1
1_19,4,0,1,0,3,3,0,1
1_20,6,0,1,3,2,3,0,1
1_22,5,0,1,3,2,2,0,1
1_23,6,0,1,3,2,3,0,1
1_25,5,0,1,3,2,2,0,1
1_26,7,0,1,7,0,2,0,1
1_27,3,0,1,3,2,2,0,3
1_28,1,0,1,3,2,2,0,5
1_29,-5,1,1,3,0,1,0,7
1_31,2,0,1,2,2,2,0,3
1_32,0,0,1,3,0,3,0,5
1_36,1,0,1,3,2,2,0,5
1_37,3,0,1,3,2,2,0,3
1_38,5,0,1,3,2,2,0,1
1_39,6,0,1,3,2,3,0,1
1_41,4,0,1,2,2,2,0,1
1_45,4,0,1,3,2,3,0,3
1_46,3,0,1,3,2,2,0,3
1_48,-7,2,4,0,0,0,0,1
1_50,5,0,1,2,2,3,0,1
1_51,-2,1,1,3,0,2,0,5
1_52,0,0,1,3,0,3,0,5
1_53,4,0,1,0,3,3,0,1
1_55,1,0,1,2,2,2,0,4
1_56,6,0,1,3,2,3,0,1
1_58,0,1,1,3,0,2,0,3
1_59,0,0,4,4,1,2,0,3
1_61,6,0,1,3,2,3,0,1
1_62,-2,0,1,2,2,0,0,5
1_63,-1,0,1,3,2,2,0,7
1_68,1,0,1,3,2,2,0,5
1_69,5,0,1,3,2,2,0,1
1_72,4,0,1,3,2,1,0,1
1_73,6,0,3,7,0,3,0,1
1_75,10,0,1,7,2,3,0,1
1_76,2,0,1,3,2,2,0,4
1_77,4,0,1,3,2,3,0,3
1_79,3,0,3,2,2,3,0,1
1_80,3,0,1,2,2,3,0,3
1_82,1,0,1,3,2,2,0,5
1_84,3,0,1,3,2,2,0,3
1_85,-1,0,1,3,0,2,0,5
1_86,5,0,1,5,2,2,0,3
1_87,3,0,1,0,3,2,0,1
1_88,4,0,1,3,2,3,0,3
1_89,1,0,1,0,3,2,0,3
1_91,6,0,1,5,2,3,0,3
1_92,6,0,0,2,2,3,0,1
1_94,5,0,1,3,2,2,0,1
1_95,4,0,1,3,2,3,0,3
1_96,3,0,1,3,2,2,0,3
1_98,5,0,1,2,2,3,0,1
