id,heuristic,mutation,indexing,hof,for_hof,helpers,match,let
10_1,-5,0,3,1,0,0,0,3
10_2,-4,0,3,1,0,1,0,3
10_7,-2,0,3,1,0,1,0,1
10_8,-4,0,3,1,0,1,0,3
10_9,-2,0,3,1,0,1,0,1
10_11,1,0,3,3,0,2,0,1
10_13,-4,0,3,1,0,1,0,3
10_15,-4,0,3,1,0,1,0,3
10_16,-7,0,3,1,0,0,0,5
10_17,-4,0,3,1,0,1,0,3
10_18,-4,0,3,1,0,1,0,3
10_21,-4,0,3,1,0,1,0,3
10_23,-4,0,3,1,0,1,0,3
10_24,-4,0,3,1,0,1,0,3
10_25,-2,0,3,1,0,1,0,1
10_26,-4,0,3,1,0,1,0,3
10_27,-2,0,3,1,0,1,0,1
10_29,-3,0,3,1,0,2,0,3
10_32,-2,0,3,1,0,1,0,1
10_33,-4,0,3,1,0,1,0,3
10_34,-2,0,3,1,0,1,0,1
10_35,-4,0,3,1,0,1,0,3
10_37,-4,0,3,1,0,1,0,3
10_39,-2,0,3,1,0,1,0,1
10_42,-3,0,3,1,0,2,0,3
10_43,-1,0,3,1,0,2,0,1
10_44,-7,0,3,1,0,0,0,5
10_45,-4,0,3,1,0,1,0,3
10_46,-4,0,3,0,0,2,0,3
10_47,-2,0,3,1,0,1,0,1
10_48,-2,0,3,1,0,1,0,1
10_50,-4,0,3,1,0,1,0,3
10_51,-4,0,3,0,3,0,0,4
10_53,-4,0,3,1,0,1,0,3
10_54,-4,0,3,0,0,2,0,3
10_56,-2,0,3,1,0,1,0,1
10_57,-4,0,3,1,0,1,0,3
10_58,-4,0,3,1,0,1,0,3
10_59,-4,0,3,1,0,1,0,3
10_61,-4,0,3,1,0,1,0,3
10_62,-4,0,3,1,0,1,0,3
10_63,-3,0,3,1,0,2,0,3
10_64,-4,0,3,1,0,1,0,3
10_67,-4,0,3,1,0,1,0,3
10_68,-1,0,3,1,0,2,0,1
10_69,-4,0,3,1,0,1,0,3
10_70,-4,0,3,1,0,1,0,3
10_72,-7,0,3,1,0,0,0,5
10_73,-4,0,3,1,0,1,0,3
10_74,-4,0,3,1,0,1,0,3
10_76,-2,0,3,1,0,1,0,1
10_78,-1,0,3,1,0,2,0,1
10_82,-2,0,3,1,0,1,0,1
10_83,-2,0,3,0,3,1,0,3
10_87,-2,0,3,1,0,1,0,1
10_89,-4,0,3,1,0,1,0,3
10_90,-3,0,3,1,0,2,0,3
10_91,-4,0,3,0,0,3,0,4
10_93,-2,0,3,1,0,1,0,1
10_94,-2,0,3,1,0,1,0,1
10_96,-3,0,3,0,0,1,0,1
10_98,-4,0,3,1,0,1,0,3
10_99,-2,0,3,1,0,1,0,1
1_2,-3,0,3,1,0,0,0,1
1_7,-1,0,3,1,0,2,0,1
1_8,-2,0,3,0,3,1,0,3
1_12,-3,0,3,1,0,2,0,3
1_14,-2,0,3,1,0,1,0,1
1_15,-5,0,3,1,0,0,0,3
1_20,-2,0,3,0,0,2,0,1
1_24,-3,0,3,0,3,0,0,3
1_30,-4,0,3,1,0,1,0,3
1_33,-5,0,3,1,0,0,0,3
1_34,-1,0,3,0,3,2,0,3
1_35,-3,0,3,1,0,0,0,1
1_36,-3,0,3,1,0,2,0,3
1_39,-1,0,3,1,0,2,0,1
1_40,-8,1,3,0,0,1,0,5
1_43,-3,0,3,0,3,0,0,3
1_51,-2,0,3,1,0,1,0,1
1_56,-4,0,3,1,0,1,0,3
1_58,1,0,3,0,3,2,0,1
1_60,-4,0,3,1,0,1,0,3
1_63,-1,0,3,0,3,0,0,1
1_64,-2,0,3,0,3,1,0,3
1_67,0,0,3,0,3,1,0,1
1_69,-4,0,3,1,0,1,0,3
1_70,-3,0,3,1,0,2,0,3
1_73,0,0,3,0,3,1,0,1
1_74,-2,0,3,0,3,1,0,3
1_75,0,0,3,0,3,1,0,1
1_78,-4,0,3,1,0,1,0,3
1_81,-2,0,3,1,0,1,0,1
1_82,-1,0,3,1,0,2,0,1
1_84,-2,0,3,1,0,1,0,1
1_85,-2,0,3,1,0,1,0,1
1_86,-2,0,3,1,0,1,0,1
1_89,-4,0,3,1,0,1,0,3
1_93,-3,0,3,1,0,2,0,3
1_94,-3,0,3,1,0,2,0,3
1_96,-2,0,3,1,0,1,0,1
1_97,-2,0,3,1,0,1,0,1
1_99,-1,0,3,1,0,2,0,1
3_4,-4,0,3,1,0,1,0,3
3_11,-4,0,3,1,0,1,0,3
3_12,-1,0,3,1,0,2,0,1
3_13,-1,0,3,0,3,2,0,3
3_15,-3,0,3,0,0,3,0,3
3_16,-4,0,3,0,1,1,0,3
3_19,-3,0,3,0,0,3,0,3
3_21,1,0,3,0,3,2,0,1
3_23,-2,0,3,1,0,1,0,1
3_27,-4,0,3,1,0,1,0,3
3_28,-1,0,3,0,1,2,0,1
3_29,-10,0,3,0,0,2,0,9
3_30,-2,0,3,1,0,1,0,1
3_31,-4,0,3,1,0,1,0,3
3_32,-4,0,3,1,0,1,0,3
3_35,-4,0,3,1,1,2,0,5
3_37,-2,0,3,0,0,2,0,1
3_38,-4,0,3,0,0,2,0,3
3_41,-4,0,3,1,0,1,0,3
3_42,-6,0,3,0,0,2,0,5
3_43,1,0,3,0,1,2,2,1
3_44,-3,0,3,1,0,2,0,3
3_45,-6,0,3,0,0,2,0,5
3_46,-5,0,3,0,0,1,0,3
3_48,0,0,3,0,3,3,0,3
3_50,-6,0,3,0,0,2,0,5
3_59,-2,0,3,0,3,3,0,5
3_62,-3,0,3,0,1,2,0,3
3_63,-6,0,3,0,0,2,0,5
3_64,-3,0,3,0,0,1,0,1
3_67,-1,0,3,0,3,2,0,3
3_69,-3,0,3,1,0,2,0,3
3_72,-1,0,3,1,0,2,0,1
3_73,-4,0,3,1,0,1,0,3
3_76,1,0,3,0,3,2,0,1
3_79,-4,0,3,0,0,2,0,3
3_82,-4,0,3,1,0,1,0,3
3_85,-5,0,3,1,0,0,0,3
3_92,-3,0,3,1,0,2,0,3
3_94,-4,0,3,1,0,1,0,3
8_0,-4,0,3,1,0,1,0,3
8_1,-2,0,3,0,0,2,0,1
8_6,-2,0,3,1,0,1,0,1
8_8,-6,0,3,1,0,1,0,5
8_10,-4,0,3,0,0,2,0,3
8_15,-4,0,3,1,0,1,0,3
8_16,-2,0,3,1,0,1,0,1
8_19,-5,0,3,1,0,0,0,3
8_21,-6,0,3,0,1,1,0,5
8_22,-4,0,3,1,0,1,0,3
8_23,-2,0,3,1,0,1,0,1
8_25,-6,0,3,0,0,0,0,3
8_26,-2,0,3,1,0,1,0,1
8_28,-4,0,3,0,0,2,0,3
8_35,-4,0,3,1,0,1,0,3
8_37,-4,0,3,1,0,1,0,3
8_42,-5,0,3,1,0,0,0,3
8_43,-2,0,3,0,3,1,0,3
8_46,-1,0,3,1,0,2,0,1
8_48,-4,0,3,1,0,1,0,3
8_51,-4,0,3,1,0,1,0,3
8_52,-1,0,3,1,0,2,0,1
8_55,-1,0,3,1,0,2,0,1
8_57,-4,0,3,1,0,1,0,3
8_59,-4,0,3,1,0,1,0,3
8_63,-3,0,3,0,0,1,0,1
8_64,-2,0,3,1,0,1,0,1
8_65,-4,0,3,1,0,1,0,3
8_66,-2,0,3,0,3,1,0,3
8_67,-3,0,3,1,0,2,0,3
8_68,-2,0,3,0,0,2,0,1
8_69,-2,0,3,0,3,1,0,3
8_71,-1,0,3,0,3,2,0,3
8_72,-3,0,3,1,0,2,0,3
8_74,-4,0,3,1,0,1,0,3
8_76,-4,0,3,0,3,1,0,5
8_78,-3,0,3,1,0,2,0,3
8_79,-4,0,3,1,0,1,0,3
8_80,-2,0,3,1,0,1,0,1
8_84,-3,0,3,1,0,2,0,3
8_85,-2,0,3,1,0,1,0,1
8_91,-2,0,3,1,0,1,0,1
8_93,-4,0,3,1,0,1,0,3
8_94,-4,0,3,1,0,1,0,3
8_96,0,0,3,1,0,3,0,1
8_97,-4,0,3,1,0,1,0,3
9_1,-2,0,3,1,0,1,0,1
9_4,-2,0,3,1,0,1,0,1
9_6,-5,0,3,1,0,0,0,3
9_10,-5,0,3,1,0,0,0,3
9_11,-3,0,3,1,0,0,0,1
9_14,-4,0,3,1,0,1,0,3
9_15,-7,0,3,1,0,0,0,5
9_19,-5,0,3,0,0,1,0,3
9_22,-3,0,3,0,0,1,0,1
9_31,-3,0,3,0,0,1,0,1
9_33,-5,0,3,1,0,0,0,3
9_34,-4,0,3,1,0,1,0,3
9_35,-5,0,3,1,0,0,0,3
9_36,-4,0,3,1,0,1,0,3
9_39,-4,0,3,1,0,1,0,3
9_43,-1,0,3,0,3,2,0,3
9_58,1,0,3,4,0,3,0,3
9_61,-2,0,3,0,3,1,0,3
9_64,-2,0,3,1,0,1,0,1
9_65,-7,0,3,1,0,0,0,5
9_66,-4,0,3,1,0,1,0,3
9_74,-4,0,3,1,0,1,0,3
9_78,-5,0,3,1,0,0,0,3
9_81,-5,0,3,0,0,1,0,3
9_84,-2,0,3,1,0,1,0,1
9_85,-3,0,3,0,3,0,0,3
9_88,-4,0,3,1,0,1,0,3
9_96,-4,0,3,1,0,1,0,3
